,iclass,idxs,x_pos,y_pos,consistent_r3,batch_size,rule_uniq,rule_cnts
171,1,"[5383, 8343, 2417]",0,2,6,100,[ 6. 36.  1. 29. 38.],[34  6  6  3  2]
172,1,"[5383, 8343, 2417]",1,2,6,100,[25.  6. 20. 26.  1. 36. 39.],[40 38 15  6  6  4  1]
173,1,"[5383, 8343, 2417]",2,2,2,100,[20.  6. 15. 14. 36. 32. 39.  1. 38. 26.],[33 31  8  7  3  3  2  2  1  1]
174,1,"[9516, 11875, 3104]",0,2,13,100,[ 1.  6. 26. 36. 37. 39.],[13 10  9  3  2  1]
175,1,"[9516, 11875, 3104]",1,2,7,100,[ 6. 26. 25.  1. 20. 38. 33.],[24 11  7  7  2  1  1]
176,1,"[9516, 11875, 3104]",2,2,14,100,[ 6. 14.  1. 33. 26. 15.],[26 14 14  7  5  4]
177,1,"[7738, 7236, 5816]",0,2,9,100,[15.  6. 21.  1. 26. 34. 38.],[38 31  9  9  7  2  1]
178,1,"[7738, 7236, 5816]",1,2,6,100,[ 6. 13. 15.  1.],[18 11 10  6]
179,1,"[7738, 7236, 5816]",2,2,10,100,[ 6.  1. 36. 19.],[24 10  6  4]
180,1,"[6219, 4283, 710]",0,2,2,100,[ 6. 26.  1. 39. 30.],[18  4  2  1  1]
181,1,"[6219, 4283, 710]",1,2,4,100,[ 6. 21. 30.  1. 26. 39.],[30 10  7  4  3  1]
182,1,"[6219, 4283, 710]",2,2,3,100,[ 6. 11. 32.  1. 27. 16.],[20  8  3  3  1  1]
183,1,"[4384, 6682, 3778]",0,2,6,100,[ 6. 10.  1. 30. 16. 38.],[17 10  6  5  5  2]
184,1,"[4384, 6682, 3778]",1,2,8,100,[15. 26.  6.  1. 10. 16. 35. 38.],[47 15 10  8  6  5  4  1]
185,1,"[4384, 6682, 3778]",2,2,7,100,[ 6.  1. 30.],[29  7  3]
186,1,"[2869, 11432, 5515]",0,2,9,100,[20.  6. 12.  1. 26. 16. 34. 35.],[22 16 11  9  6  6  3  2]
187,1,"[2869, 11432, 5515]",1,2,1,100,[ 6. 19. 33.  1.],[43  2  1  1]
188,1,"[2869, 11432, 5515]",2,2,9,100,[ 6.  1. 21. 36. 35. 26.],[19  9  8  4  4  4]
189,1,"[11985, 6474, 3977]",0,2,3,100,[ 6. 22. 26.  1. 36. 39.],[29 27  4  3  2  1]
190,1,"[11985, 6474, 3977]",1,2,3,100,[ 6. 22. 35. 36.  1. 26.],[23 21  5  4  3  2]
191,1,"[11985, 6474, 3977]",2,2,15,100,[22.  6.  1. 26. 35.],[39 18 15 10  4]
192,1,"[7839, 3056, 8381]",0,2,4,100,[21. 26.  1. 38.  6.],[14 11  4  1  1]
193,1,"[7839, 3056, 8381]",1,2,5,100,[20.  1.  6. 26. 37.],[11  5  4  3  1]
194,1,"[7839, 3056, 8381]",2,2,7,100,[23.  6.  1. 36. 37.],[26  9  7  2  1]
195,1,"[3286, 10146, 11870]",0,2,9,100,[ 6. 11.  1. 16. 39. 31.],[30 14  9  2  1  1]
196,1,"[3286, 10146, 11870]",1,2,5,100,[15.  6. 30.  1. 16. 11.],[38 28  8  5  1  1]
197,1,"[3286, 10146, 11870]",2,2,1,100,[ 6. 33. 24. 38. 25.  1.],[39 30  4  1  1  1]
198,1,"[471, 9985, 5857]",0,2,7,100,[ 6. 25. 36. 35. 26.  1. 15. 22.],[16 11  8  7  7  7  6  2]
199,1,"[471, 9985, 5857]",1,2,6,100,[ 6. 12.  1. 30. 16. 38.],[16 14  6  3  3  1]
200,1,"[471, 9985, 5857]",2,2,4,100,[ 6. 11. 32. 16.  1.],[25 17 15  4  4]
201,1,"[5748, 680, 11151]",0,2,3,100,[6. 1.],[3 3]
202,1,"[5748, 680, 11151]",1,2,2,100,[29. 32. 16.  1. 36.  6.],[10  9  4  2  1  1]
203,1,"[5748, 680, 11151]",2,2,5,100,[ 6.  1. 39. 32. 29. 17.],[11  5  3  1  1  1]
204,1,"[4222, 4763, 2510]",0,2,17,100,[ 6.  1. 22. 30. 26. 25.],[29 17  8  6  6  6]
205,1,"[4222, 4763, 2510]",1,2,7,100,[ 6. 30. 24.  1. 35. 25.],[18  7  7  7  5  5]
206,1,"[4222, 4763, 2510]",2,2,10,100,[ 6.  1. 36. 12. 16.],[19 10  5  5  4]
207,1,"[9143, 4160, 6905]",0,2,5,100,[ 6. 21.  1. 36. 26. 16.],[36  9  5  4  4  2]
208,1,"[9143, 4160, 6905]",1,2,6,100,[ 6.  1. 36. 26. 13. 15.],[40  6  3  3  3  2]
209,1,"[9143, 4160, 6905]",2,2,23,100,[12.  1. 25. 26.  6. 20. 16. 37.],[49 23 17 12 12  6  5  2]
210,1,"[8733, 11339, 7511]",0,2,1,100,[ 6. 32. 29. 39. 36.  1.],[21  6  4  1  1  1]
211,1,"[8733, 11339, 7511]",1,2,2,100,[ 6. 37.  1. 38.],[15  2  2  1]
212,1,"[8733, 11339, 7511]",2,2,5,100,[ 6. 26. 10. 21. 33.  1. 16. 37.],[19 10  9  6  5  5  4  1]
213,1,"[5086, 3995, 2531]",0,2,19,100,[ 1.  6. 11. 35. 26. 20. 16. 25.],[19 16  9  8  5  4  3  1]
214,1,"[5086, 3995, 2531]",1,2,8,100,[ 6.  1. 36.],[28  8  1]
